time,TH_x,TH_y,TH_z,Trunk_Hum_y,Trunk_Hum_z,Trunk_Hum_yy,EL_x,PS_y
0,0,0,0,0,0.087,0,0,1.571
0.3,0,0,0,0,1.571,0,0,1.571
