time,TH_x,TH_y,TH_z,SC_y,SC_z,SC_x,AC_y,AC_z,AC_x,GH_y,GH_z,GH_yy,EL_x,PS_y
0,0,0,0,-0.3802,0.11,0,0.808,0.0855,-0.0206,0.35,0.1901,0,0.087266463,1.5708
0.1,0,0,0,-0.3802,0.11,0,0.808,0.0855,-0.0206,0.35,0.1901,0,0.087266463,1.5708
