time,TH_x,TH_y,TH_z,SC_y,SC_z,SC_x,AC_y,AC_z,AC_x,GH_y,GH_z,GH_yy,EL_x,PS_y
0,0,0,0,-0.4689,0.1537,0.224,0.6056,-0.4402,-0.3173,0.2097,0.2466,-0.2399,0.3116,1.4338
1,0,0,0,-0.4689,0.1537,0.224,0.6056,-0.4402,-0.3173,0.2097,0.2466,-0.2399,1.5708,1.4338
