time,TH_x,TH_y,TH_z,Trunk_Hum_y,Trunk_Hum_z,Trunk_Hum_yy,EL_x,PS_y
0,0,0,0,-1.5493,0.1328,2.015,0.1746,1.6173
1,0,0,0,1.484,1.04,0,0.1746,1.6173
