Trajectories
100
,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,690.885,-2.49875,1537.43,461.725,-26.4691,1291.17,762.291,1.74567,1322.43,528.577,-27.4836,1433.89,532.372,-2.12137,1441.98,599.452,142.665,1482.45,729.214,81.0454,1460.35,759.374,83.9763,1341.93,668.458,195.267,1440.3,628.149,205.091,1453.46,538.32,292.283,1184.56,574.018,218.156,1133.23,434.23,369.511,941.743,398.696,296.508,933.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685.53,1371.5,1526.41,1528.46,1537.12,1605.41,1634.3,1544.18,1599.83,1596.62,1333.56,1288.91,1100.9,1057.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,690.957,-2.51413,1537.45,461.778,-26.4416,1291.2,762.335,1.76324,1322.41,528.626,-27.4696,1433.87,532.451,-2.13541,1442,599.514,142.676,1482.45,729.283,81.042,1460.34,759.43,83.983,1341.93,668.513,195.256,1440.29,628.224,205.088,1453.45,538.326,292.343,1184.54,574.05,218.177,1133.18,434.238,369.499,941.75,398.686,296.511,933.071,7.28965,-1.5374,2.88486,5.3674,2.75206,2.563,4.39286,1.75701,-1.83582,4.90546,1.39866,-1.37091,7.90954,-1.40453,2.08616,6.1214,1.03265,0.536442,6.89626,-0.334531,-0.846386,5.63264,0.673532,-0.77486,5.41806,-1.08182,-1.81198,7.52211,-0.269711,-1.07288,0.607967,5.93066,-2.00272,3.18289,2.07573,-4.98295,0.843406,-1.20103,0.685453,-0.956655,0.312924,2.04444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685.58,1371.55,1526.41,1528.46,1537.17,1605.44,1634.32,1544.2,1599.83,1596.64,1333.56,1288.89,1100.9,1057.11,5.61476,4.17233,0.607967,0.393391,4.69685,2.87294,2.30074,2.12193,0.5126,1.95503,-0.238419,-2.61068,0.524521,1.5378,,,,,,,,,,,,,,
3,0,691.04,-2.52781,1537.49,461.826,-26.4271,1291.22,762.379,1.7794,1322.4,528.672,-27.4561,1433.86,532.513,-2.13968,1442.01,599.569,142.676,1482.46,729.342,81.0431,1460.33,759.482,83.9916,1341.92,668.569,195.248,1440.27,628.296,205.092,1453.45,538.351,292.391,1184.53,574.085,218.197,1133.15,434.243,369.493,941.76,398.678,296.518,933.093,8.25524,-1.36839,3.82662,4.75645,1.44523,1.51396,4.35114,1.61558,-1.87159,4.62532,1.3439,-1.15633,6.13928,-0.426802,1.00136,5.55515,0.0461936,0.989437,5.9545,0.102818,-0.631809,5.17964,0.859797,-0.751019,5.62072,-0.886619,-1.39475,7.1764,0.357628,-0.631809,2.40207,4.85778,-0.965595,3.54052,1.93715,-2.45571,0.476837,-0.572205,0.953674,-0.831485,0.751019,2.21729,96.5595,16.9012,94.1753,-61.0948,-130.683,-104.904,-4.17233,-14.1433,-3.57628,-28.0142,-5.47618,21.4577,-177.026,97.7726,-108.48,-56.6244,-98.6457,45.2995,-94.1753,43.7349,21.4577,-45.2995,18.6265,2.38419,20.2656,19.5205,41.7233,-34.5707,62.7339,44.1074,179.41,-107.288,103.712,35.7628,-13.8581,252.724,-36.6569,62.8829,26.8221,12.517,43.8094,17.2853,1685.65,1371.58,1526.42,1528.46,1537.2,1605.47,1634.34,1544.22,1599.84,1596.66,1333.57,1288.88,1100.91,1057.13,6.8903,2.99215,0.548363,0.488758,3.06368,2.99215,2.11,1.94311,0.977516,2.28882,1.18017,-0.25034,0.810623,1.84774,127.554,-118.017,-5.96046,9.53674,-163.317,11.9209,-19.0735,-17.8814,46.4916,33.3786,141.859,236.034,28.6102,30.9944
4,0,691.122,-2.533,1537.53,461.871,-26.424,1291.22,762.422,1.79238,1322.38,528.716,-27.4433,1433.85,532.559,-2.13124,1442.01,599.619,142.674,1482.47,729.394,81.0491,1460.32,759.529,84.002,1341.91,668.626,195.243,1440.26,628.36,205.1,1453.44,538.386,292.43,1184.52,574.122,218.215,1133.15,434.246,369.493,941.771,398.671,296.53,933.117,8.21352,-0.5187,3.38554,4.48227,0.317022,0.143051,4.36902,1.2977,-1.54972,4.34518,1.28672,-0.941753,4.69685,0.844197,-0.5126,4.96507,-0.172853,0.858307,5.1856,0.599027,-0.762939,4.72665,1.04159,-0.703335,5.73993,-0.423193,-0.953674,6.38366,0.755489,-0.357628,3.5882,3.90708,-0.0476837,3.64184,1.809,-0.13113,0.321865,0.0149012,1.06692,-0.670552,1.14143,2.37823,-4.17233,84.9692,-44.1074,-27.4181,-112.82,-137.091,1.78814,-31.7872,32.1865,-28.0142,-5.71832,21.4577,-144.243,127.1,-151.396,-59.0086,-21.9047,-13.113,-76.89,49.6209,-13.113,-45.2995,18.1794,4.76837,11.9209,46.3426,44.1074,-79.2742,39.7861,27.4181,118.613,-95.0694,91.7912,10.1328,-12.815,232.458,-15.4972,58.7106,11.3249,16.0933,39.041,16.0933,1685.72,1371.59,1526.43,1528.47,1537.21,1605.5,1634.36,1544.24,1599.86,1596.68,1333.59,1288.9,1100.92,1057.15,6.46114,1.64509,0.834465,0.607967,1.15633,2.63453,1.65701,1.77622,1.49012,2.28882,2.25306,1.81198,1.03712,2.16961,-42.9153,-134.706,28.6102,11.9209,-190.735,-35.7628,-45.2995,-16.6893,51.26,0,107.288,206.232,22.6498,32.1865
5,0,691.189,-2.52111,1537.54,461.915,-26.4259,1291.21,762.466,1.80225,1322.37,528.757,-27.431,1433.84,532.603,-2.1104,1441.99,599.666,142.681,1482.47,729.441,81.062,1460.31,759.572,84.0141,1341.9,668.683,195.248,1440.26,628.411,205.107,1453.44,538.426,292.46,1184.53,574.156,218.23,1133.17,434.253,369.498,941.781,398.667,296.544,933.142,6.71744,1.1889,1.35899,4.44353,-0.194646,-1.15633,4.30346,0.987342,-0.798702,4.071,1.22748,-0.727177,4.33922,2.08402,-1.63317,4.75049,0.666082,0.143051,4.70281,1.2897,-1.06096,4.28557,1.21146,-0.655651,5.66244,0.439584,-0.309944,5.0962,0.759959,0.0357628,3.93987,2.99513,0.679493,3.42131,1.57356,1.71661,0.602007,0.497699,1.09673,-0.429153,1.40965,2.50936,-149.608,170.76,-202.656,-3.8743,-51.1669,-129.938,-6.55651,-31.0363,75.1019,-27.4181,-5.92321,21.4577,-35.7628,123.982,-112.057,-21.4577,83.8935,-71.5256,-48.2798,69.0669,-29.8023,-44.1074,16.9873,4.76837,-7.7486,86.2777,64.373,-128.746,0.447035,39.3391,35.1667,-91.1951,72.7177,-22.0537,-23.5438,184.774,28.0142,48.2798,2.98023,24.1399,26.8221,13.113,1685.76,1371.6,1526.44,1528.48,1537.21,1605.51,1634.37,1544.25,1599.88,1596.71,1333.62,1288.93,1100.93,1057.18,3.98159,0.405312,1.46627,0.691414,-0.0476837,1.95503,1.21593,1.5974,2.14577,2.13385,2.86102,3.3021,1.34706,2.44379,-247.955,-123.978,63.1809,8.34465,-120.401,-67.9493,-44.1074,-17.8814,65.5651,-15.4972,60.7967,149.012,30.9944,27.4181
6,0,691.237,-2.494,1537.54,461.959,-26.4252,1291.19,762.507,1.81113,1322.37,528.795,-27.4193,1433.84,532.648,-2.0836,1441.98,599.716,142.695,1482.46,729.484,81.0811,1460.31,759.611,84.0278,1341.9,668.734,195.262,1440.27,628.45,205.113,1453.45,538.463,292.48,1184.54,574.186,218.243,1133.2,434.266,369.505,941.794,398.667,296.559,933.167,4.81606,2.71134,-0.452995,4.39584,0.0726432,-1.78814,4.18425,0.888028,0.0476837,3.79682,1.16732,-0.5126,4.56572,2.68004,-1.57356,4.97103,1.35899,-0.715256,4.28557,1.91778,-0.762939,3.86834,1.3642,-0.619888,5.1558,1.37985,0.584126,3.98159,0.594556,0.500679,3.76105,2.01166,1.22786,3.02196,1.24872,2.87294,1.3113,0.634789,1.26362,-0.0119209,1.47223,2.52724,-190.139,152.243,-181.198,-4.76837,26.729,-63.1809,-11.9209,-9.93139,84.6386,-27.4181,-6.01634,21.4577,22.6498,59.6023,5.96046,22.0537,69.2904,-85.8307,-41.7233,62.8084,29.8023,-41.7233,15.2737,3.57628,-50.6639,94.0263,89.407,-111.461,-16.5403,46.4916,-17.8814,-98.3477,54.8363,-39.9351,-32.4845,115.633,70.9295,13.7091,16.6893,41.7233,6.25849,1.78814,1685.77,1371.59,1526.46,1528.49,1537.21,1605.53,1634.39,1544.27,1599.91,1596.73,1333.65,1288.97,1100.95,1057.21,1.54972,-0.202656,2.13385,0.822544,0.119209,1.32322,1.32322,1.43051,2.8491,2.09808,3.03984,4.07696,1.81198,2.63453,-243.187,-60.7967,66.7572,13.113,16.6893,-63.1809,10.7288,-16.6893,70.3335,-3.57628,17.8814,77.486,46.4916,19.0735
7,0,691.278,-2.46547,1537.53,462.002,-26.4182,1291.17,762.548,1.82015,1322.38,528.83,-27.4083,1433.84,532.693,-2.0637,1441.97,599.768,142.706,1482.46,729.523,81.0999,1460.31,759.645,84.0426,1341.89,668.778,195.281,1440.28,628.486,205.119,1453.46,538.498,292.49,1184.56,574.212,218.251,1133.23,434.287,369.507,941.811,398.673,296.572,933.191,4.07696,2.85232,-0.333786,4.3422,0.696443,-1.43051,4.08292,0.902254,0.667572,3.52859,1.10641,-0.321865,4.41074,1.98986,-0.703335,5.21541,1.18464,-0.834465,3.93391,1.87755,0.357628,3.43323,1.48714,-0.572205,4.3273,1.94609,1.52588,3.52859,0.576675,1.01328,3.49283,0.920892,1.5974,2.5332,0.843406,3.18289,2.15471,0.283122,1.68681,0.628829,1.2964,2.38419,-73.9098,14.0979,11.9209,-5.36442,62.38,35.7628,-10.1328,1.4226,61.9888,-26.8221,-6.09085,19.0735,-15.4972,-69.018,87.0228,24.4379,-17.4344,-11.9209,-35.1667,-4.02331,112.057,-43.5114,12.2935,4.76837,-82.8505,56.6244,94.1753,-45.2995,-1.78814,51.26,-26.8221,-109.076,36.9549,-48.8758,-40.5312,30.9944,84.3406,-35.1667,42.3193,64.075,-17.5834,-14.3051,1685.79,1371.59,1526.49,1528.49,1537.22,1605.54,1634.41,1544.28,1599.94,1596.75,1333.68,1289.02,1100.98,1057.23,1.37091,0.107288,2.6226,0.89407,0.858307,1.27554,2.16961,1.28746,3.42131,2.39611,3.03984,4.07696,2.38419,2.70605,-17.8814,30.9944,48.8758,7.15256,73.9098,-4.76837,84.6386,-14.3051,57.2205,29.8023,0,0,57.2205,7.15256
8,0,691.324,-2.44916,1537.54,462.044,-26.41,1291.17,762.59,1.82855,1322.39,528.862,-27.3978,1433.83,532.734,-2.06212,1441.97,599.821,142.71,1482.46,729.561,81.1094,1460.32,759.675,84.0583,1341.89,668.813,195.301,1440.3,628.525,205.125,1453.47,538.532,292.488,1184.58,574.231,218.256,1133.26,434.314,369.503,941.832,398.688,296.581,933.211,4.57168,1.63105,1.13249,4.16934,0.825711,-0.333786,4.14252,0.840053,0.619888,3.26633,1.04252,-0.107288,4.19021,0.157882,0.393391,5.29289,0.336766,0.274181,3.8147,0.950694,1.50204,3.03388,1.56686,-0.536442,3.48091,1.99676,2.13385,3.95179,0.663102,1.58548,3.37362,-0.193715,1.8239,1.97887,0.494719,2.77758,2.69711,-0.497699,2.15173,1.47521,0.917912,2.0504,49.4719,-122.127,146.627,-17.2853,12.9268,109.673,5.96046,-6.22007,-4.76837,-26.226,-6.38887,21.4577,-22.0537,-183.198,109.673,7.7486,-84.7876,110.865,-11.9209,-92.6852,114.441,-39.9351,7.97212,3.57628,-84.6386,5.06639,60.7967,42.3193,8.64267,57.2205,-11.9209,-111.461,22.6498,-55.4323,-34.8687,-40.5312,54.2402,-78.0821,46.4916,84.6386,-37.8489,-33.3786,1685.82,1371.61,1526.52,1528.51,1537.24,1605.56,1634.44,1544.29,1599.98,1596.78,1333.71,1289.05,1101,1057.26,2.90871,1.07288,2.61068,1.00136,1.8239,2.26498,3.08752,1.10865,3.61204,3.0756,2.93255,3.39746,2.74181,2.63453,153.78,96.5595,-1.19209,10.7288,96.5595,98.9437,91.7912,-17.8814,19.0735,67.9493,-10.7288,-67.9493,35.7628,-7.15256
9,0,691.372,-2.44555,1537.56,462.079,-26.4045,1291.18,762.634,1.83706,1322.39,528.893,-27.3881,1433.84,532.775,-2.07657,1441.99,599.873,142.705,1482.47,729.601,81.1058,1460.34,759.702,84.0743,1341.88,668.84,195.316,1440.32,628.572,205.13,1453.49,538.565,292.478,1184.6,574.246,218.26,1133.28,434.341,369.489,941.855,398.712,296.585,933.227,4.78029,0.36119,1.52588,3.52263,0.542402,0.739098,4.47035,0.850938,-0.0119209,3.00407,0.97584,0.0715256,4.00543,-1.44462,1.22786,5.1558,-0.497699,1.39475,3.96967,-0.364333,1.69277,2.64645,1.59815,-0.5126,2.77758,1.49608,1.90735,4.69089,0.418723,1.9908,3.25441,-0.923872,1.8239,1.48416,0.366569,2.06232,2.68221,-1.37091,2.26498,2.38121,0.426173,1.5676,20.8616,-126.986,39.3391,-64.671,-28.3308,107.288,32.7826,1.08848,-63.1809,-26.226,-6.66827,17.8814,-18.4774,-160.25,83.4465,-13.7091,-83.4465,112.057,15.4972,-131.503,19.0735,-38.743,3.12924,2.38419,-70.3335,-50.0679,-22.6498,73.9098,-24.4379,40.5312,-11.9209,-73.0157,0,-49.4719,-12.815,-71.5256,-1.49012,-87.3208,11.3249,90.5991,-49.1738,-48.2798,1685.85,1371.62,1526.54,1528.52,1537.26,1605.6,1634.47,1544.3,1600.01,1596.82,1333.74,1289.08,1101.03,1057.28,3.34978,1.87159,2.21729,1.09673,2.53916,3.17097,3.26633,0.941753,3.0756,3.70741,2.74181,2.53916,2.53916,2.39611,44.1074,79.8702,-39.3391,9.53674,71.5256,90.5991,17.8814,-16.6893,-53.6442,63.1809,-19.0735,-85.8307,-20.2656,-23.8419
