Trajectories
100
,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,705.96,-23.0727,1535.07,464.428,-36.5937,1295.15,769.243,-19.0592,1318.82,535.995,-42.9507,1436.49,540.62,-18.4867,1445.92,622.187,119.994,1493.68,745.498,51.5543,1460.17,771.855,57.7617,1338.8,699.06,164.802,1454.69,660.374,179.522,1468.74,641.83,267.489,1183.18,654.23,183.32,1132.97,402.119,266.44,1037.79,382.647,250.66,1113.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689.78,1376.39,1526.88,1533.83,1543.8,1622.52,1640.28,1546.44,1622.34,1620.34,1372.37,1321.08,1144.42,1203.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,705.858,-23.0372,1535.1,464.369,-36.6221,1295.14,769.241,-19.0433,1318.77,535.994,-42.915,1436.45,540.491,-18.4571,1445.87,622.062,119.998,1493.63,745.378,51.5542,1460.17,771.797,57.7535,1338.8,698.908,164.82,1454.65,660.249,179.532,1468.69,641.631,267.153,1183.07,654.099,183.232,1132.9,401.985,266.253,1037.83,382.735,251.267,1113.24,-10.2222,3.54629,2.92063,-5.9247,-2.84798,-1.16825,-0.196695,1.59107,-4.82798,-0.0655651,3.57144,-3.3617,-12.9163,2.96086,-5.84126,-12.4753,0.464171,-4.39882,-11.9686,-0.013411,-0.166893,-5.78165,-0.824779,0.154972,-15.1873,1.73599,-4.85182,-12.511,0.938773,-4.72069,-19.9318,-33.6766,-11.3606,-13.0653,-8.80361,-7.47442,-13.4498,-18.7039,4.25577,8.79169,60.6656,-11.4799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689.77,1376.36,1526.84,1533.8,1543.7,1622.43,1640.22,1546.41,1622.23,1620.25,1372.12,1320.94,1144.37,1203.71,-1.65701,-3.016,-4.29153,-3.26633,-10.0136,-8.79765,-5.57899,-2.76566,-10.7169,-9.26256,-25.6896,-14.1025,-5.22137,4.82798,,,,,,,,,,,,,,
3,0,705.748,-22.9966,1535.12,464.307,-36.6507,1295.13,769.23,-19.0266,1318.72,535.999,-42.8959,1436.4,540.373,-18.4174,1445.8,621.941,120.002,1493.59,745.271,51.5584,1460.16,771.769,57.7558,1338.81,698.775,164.835,1454.59,660.125,179.536,1468.64,641.479,266.947,1182.96,653.99,183.151,1132.84,401.862,266.107,1037.8,382.731,251.536,1113.15,-10.9434,4.05498,1.5378,-6.1661,-2.86065,-1.22786,-1.03116,1.67787,-4.98295,0.488758,1.90996,-5.06639,-11.8434,3.96408,-6.36578,-12.1057,0.391155,-4.1604,-10.7706,0.41686,-0.905991,-2.72989,0.237674,0.536442,-13.3038,1.53184,-5.29289,-12.4514,0.405312,-4.74453,-15.1992,-20.5249,-10.2997,-10.8957,-8.06153,-6.07967,-12.2964,-14.6031,-3.11136,-0.342727,26.9413,-9.70364,-72.1216,50.8688,-138.283,-24.1399,-1.2666,-5.96046,-83.4465,8.67993,-15.4972,55.4323,-166.148,-170.469,107.288,100.322,-52.4521,36.9549,-7.30157,23.8419,119.805,43.0271,-73.9098,305.176,106.245,38.147,188.351,-20.4146,-44.1074,5.96046,-53.3462,-2.38419,473.261,1315.18,106.096,216.961,74.2078,139.475,115.335,410.08,-736.713,-913.441,-3372.43,177.622,1689.73,1376.33,1526.79,1533.75,1543.6,1622.35,1640.17,1546.4,1622.13,1620.16,1371.92,1320.82,1144.26,1203.68,-3.23057,-3.15905,-4.85182,-4.62532,-10.1566,-8.45194,-5.68628,-0.89407,-10.3116,-9.33409,-19.9795,-11.7183,-10.5381,-3.45707,-157.356,-14.3051,-56.0284,-135.899,-14.3051,34.5707,-10.7288,187.159,40.5312,-7.15256,571.013,238.419,-531.673,-828.505
4,0,705.63,-22.9558,1535.12,464.243,-36.6797,1295.12,769.211,-19.0098,1318.67,536.003,-42.8974,1436.34,540.265,-18.3783,1445.74,621.836,120.01,1493.55,745.174,51.5667,1460.14,771.769,57.7674,1338.81,698.655,164.857,1454.54,660.007,179.543,1468.59,641.369,266.853,1182.87,653.892,183.067,1132.78,401.748,265.983,1037.72,382.664,251.553,1113.07,-11.8554,4.08161,0.0596046,-6.35982,-2.90014,-1.22786,-1.88351,1.67061,-4.98295,0.351667,-0.154227,-6.33001,-10.7646,3.91677,-6.35386,-10.4845,0.795722,-4.30346,-9.66787,0.834465,-1.68085,-0.089407,1.16006,0.834465,-11.9805,2.14428,-5.22137,-11.7362,0.703335,-4.99487,-10.9792,-9.38475,-9.81092,-9.81092,-8.40873,-5.36442,-11.3964,-12.3769,-8.23736,-6.70254,1.60933,-7.64132,-91.1951,2.66358,-147.82,-19.3715,-3.94881,0,-85.2346,-0.726432,0,-13.7091,-206.418,-126.362,107.884,-4.73112,1.19209,162.125,40.4567,-14.3051,110.269,41.7605,-77.486,264.049,92.2382,29.8023,132.322,61.2438,7.15256,71.5256,29.8023,-25.034,422.001,1114.01,48.8758,108.48,-34.7197,71.5256,90.003,222.623,-512.6,-635.982,-2533.2,206.232,1689.68,1376.3,1526.74,1533.69,1543.5,1622.27,1640.11,1546.41,1622.03,1620.07,1371.76,1320.71,1144.12,1203.59,-4.97103,-3.23057,-5.26905,-5.80549,-9.77516,-7.9155,-5.8651,0.715256,-9.64403,-9.2268,-15.4138,-10.6215,-14.3528,-8.86917,-174.046,-7.15256,-41.7233,-118.017,38.147,53.6442,-17.8814,160.933,66.7572,10.7288,456.572,109.673,-381.47,-541.21
5,0,705.499,-22.9199,1535.11,464.179,-36.7099,1295.1,769.19,-18.9927,1318.62,535.994,-42.9242,1436.27,540.167,-18.3533,1445.68,621.75,120.024,1493.5,745.086,51.5775,1460.12,771.784,57.7837,1338.82,698.543,164.88,1454.49,659.908,179.553,1468.54,641.287,266.833,1182.77,653.794,182.956,1132.72,401.64,265.859,1037.61,382.571,251.435,1113.02,-13.1369,3.59826,-0.917912,-6.47604,-3.01301,-1.21593,-2.09808,1.71326,-5.26905,-0.911951,-2.6796,-6.78301,-9.82881,2.49073,-5.43594,-8.64267,1.35303,-4.79221,-8.82745,1.07661,-2.37226,1.51992,1.62832,0.965595,-11.1818,2.32458,-5.14984,-9.95994,0.973046,-5.72205,-8.2314,-2.07722,-10.0017,-9.79304,-11.0745,-6.00815,-10.7706,-12.4961,-10.3593,-9.29832,-11.7183,-5.14984,-128.15,-48.3356,-97.7516,-11.6229,-11.2876,1.19209,-21.4577,4.26546,-28.6102,-126.362,-252.537,-45.2995,93.5793,-142.604,91.7912,184.178,55.7303,-48.8758,84.0425,24.2144,-69.1414,160.933,46.8269,13.113,79.8702,18.0304,7.15256,177.622,26.9711,-72.7177,274.777,730.753,-19.0735,1.78814,-266.582,-64.373,62.5849,-11.9209,-212.193,-259.578,-1332.76,249.147,1689.62,1376.26,1526.68,1533.63,1543.41,1622.19,1640.05,1546.43,1621.94,1619.97,1371.64,1320.6,1143.96,1203.49,-6.35386,-3.24249,-5.62668,-6.59227,-8.55923,-7.61747,-6.09159,1.65701,-9.19104,-9.14335,-12.8865,-11.5514,-16.0813,-10.1686,-138.283,-1.19209,-35.7628,-78.6781,121.593,29.8023,-22.6498,94.1753,45.2995,8.34465,252.724,-92.9832,-172.853,-129.938
6,0,705.356,-22.889,1535.1,464.114,-36.742,1295.09,769.184,-18.9721,1318.55,535.962,-42.9765,1436.21,540.074,-18.3486,1445.64,621.669,120.04,1493.45,745.001,51.5876,1460.09,771.797,57.7974,1338.83,698.439,164.894,1454.44,659.83,179.558,1468.48,641.213,266.844,1182.66,653.707,182.799,1132.64,401.537,265.719,1037.51,382.48,251.285,1112.99,-14.2992,3.08547,-0.703335,-6.44922,-3.21157,-1.20401,-0.697374,2.06511,-6.49691,-3.14116,-5.22546,-6.38962,-9.2864,0.471435,-4.05312,-8.10027,1.64807,-4.69685,-8.47578,1.01626,-2.82526,1.33514,1.36606,1.04904,-10.4129,1.45286,-5.04255,-7.79033,0.564754,-6.07967,-7.36713,1.13547,-10.4547,-8.72016,-15.7192,-8.07047,-10.3384,-13.9058,-10.2162,-9.11355,-15.0263,-2.61068,-116.229,-51.2786,21.4577,2.68221,-19.8558,1.19209,140.071,35.1854,-122.786,-222.921,-254.586,39.3391,54.2402,-201.929,138.283,54.2402,29.5043,9.53674,35.1667,-6.03497,-45.2995,-18.4774,-26.226,8.34465,76.89,-87.1718,10.7288,216.961,-40.8292,-35.7628,86.4267,321.269,-45.2995,107.288,-464.469,-206.232,43.2134,-140.965,14.3051,18.4774,-330.806,253.916,1689.55,1376.23,1526.62,1533.56,1543.34,1622.12,1639.99,1546.44,1621.85,1619.89,1371.51,1320.46,1143.8,1203.41,-6.65188,-3.23057,-5.99623,-6.93798,-7.04527,-7.31945,-6.33001,1.63317,-8.85725,-8.61883,-12.2309,-13.3991,-16.129,-8.45194,-29.8023,1.19209,-36.9549,-34.5707,151.396,29.8023,-23.8419,-2.38419,33.3786,52.4521,65.5651,-184.774,-4.76837,171.661
7,0,705.209,-22.8589,1535.11,464.052,-36.7766,1295.08,769.192,-18.9474,1318.47,535.901,-43.0483,1436.15,539.984,-18.3622,1445.62,621.58,120.052,1493.41,744.914,51.5943,1460.06,771.787,57.8021,1338.84,698.34,164.896,1454.39,659.764,179.551,1468.42,641.134,266.852,1182.56,653.645,182.608,1132.54,401.435,265.57,1037.42,382.401,251.152,1112.98,-14.6091,3.00556,0.38147,-6.23167,-3.45707,-1.32322,0.840425,2.46856,-7.70092,-6.07967,-7.17863,-5.53131,-9.02414,-1.36103,-2.77758,-8.88705,1.17198,-4.07696,-8.70824,0.67167,-2.75373,-1.00732,0.47721,0.965595,-9.86457,0.183284,-4.673,-6.56843,-0.707805,-5.65052,-7.9155,0.795722,-10.2878,-6.2108,-19.1271,-9.94205,-10.2103,-14.9935,-8.85725,-7.92742,-13.262,-1.10865,-30.9944,-7.99075,108.48,21.7557,-24.5497,-11.9209,153.78,40.3449,-120.401,-293.851,-195.317,85.8307,26.226,-183.247,127.554,-78.6781,-47.6092,61.9888,-23.2458,-34.4589,7.15256,-234.246,-88.8854,-8.34465,54.8363,-126.958,36.9549,122.19,-127.256,42.9153,-54.8363,-33.9746,16.6893,250.936,-340.79,-187.159,12.815,-108.778,135.899,118.613,176.43,150.204,1689.5,1376.2,1526.56,1533.49,1543.28,1622.05,1639.92,1546.45,1621.77,1619.81,1371.39,1320.32,1143.65,1203.34,-5.79357,-3.24249,-6.24657,-7.10487,-5.74589,-7.05719,-6.38962,0.345707,-8.41618,-7.87973,-12.4216,-14.2574,-15.0919,-6.30617,85.8307,-1.19209,-25.034,-16.6893,129.938,26.226,-5.96046,-128.746,44.1074,73.9098,-19.0735,-85.8307,103.712,214.577
8,0,705.072,-22.8256,1535.12,463.994,-36.8132,1295.06,769.197,-18.9229,1318.4,535.813,-43.1248,1436.11,539.896,-18.3868,1445.6,621.482,120.051,1493.38,744.821,51.5959,1460.04,771.739,57.7957,1338.85,698.243,164.893,1454.34,659.696,179.528,1468.37,641.046,266.833,1182.47,653.594,182.445,1132.45,401.331,265.422,1037.35,382.33,251.044,1112.96,-13.7091,3.33488,1.18017,-5.79357,-3.66643,-1.64509,0.464916,2.45031,-7.49826,-8.89301,-7.6469,-4.43459,-8.77976,-2.45217,-1.89543,-9.81688,-0.0819564,-3.48091,-9.23872,0.158697,-2.26498,-4.77433,-0.646338,0.596046,-9.74536,-0.342727,-4.66108,-6.78897,-2.35289,-4.92334,-8.80957,-1.93715,-9.2864,-5.07832,-16.3287,-9.2864,-10.3772,-14.7581,-7.33137,-7.09295,-10.8778,-1.64509,90.003,32.9316,79.8702,43.8094,-20.9361,-32.1865,-37.5509,-1.82539,20.2656,-281.334,-46.8269,109.673,24.4379,-109.114,88.2149,-92.9832,-125.393,59.6046,-53.0481,-51.2972,48.8758,-376.701,-112.355,-36.9549,11.9209,-52.6011,1.19209,-22.0537,-164.509,72.7177,-89.407,-273.287,100.136,113.249,279.844,65.5651,-16.6893,23.5438,152.588,83.4465,238.419,-53.6442,1689.45,1376.17,1526.5,1533.42,1543.24,1621.98,1639.86,1546.43,1621.68,1619.73,1371.26,1320.19,1143.51,1203.28,-4.69685,-3.40939,-6.28233,-7.04527,-4.82798,-6.97374,-6.19888,-1.88351,-8.41618,-7.48634,-12.5051,-12.7435,-13.721,-6.04391,109.673,-16.6893,-3.57628,5.96046,91.7912,8.34465,19.0735,-222.921,0,39.3391,-8.34465,151.396,137.091,26.226
9,0,704.963,-22.7916,1535.13,463.943,-36.8509,1295.04,769.18,-18.9034,1318.34,535.707,-43.1865,1436.08,539.813,-18.4141,1445.58,621.379,120.043,1493.34,744.725,51.5932,1460.02,771.65,57.7788,1338.85,698.146,164.887,1454.3,659.619,179.496,1468.32,640.95,266.788,1182.38,653.525,182.366,1132.39,401.229,265.287,1037.29,382.26,250.945,1112.93,-10.9375,3.40231,1.23978,-5.10812,-3.76515,-2.24113,-1.63913,1.94591,-5.90086,-10.5143,-6.17504,-3.44515,-8.2612,-2.73697,-1.44243,-10.3295,-0.756234,-3.15905,-9.64403,-0.271574,-1.65701,-8.91089,-1.68756,0.13113,-9.64999,-0.585616,-4.92334,-7.76052,-3.14265,-4.80413,-9.62615,-4.46439,-8.21352,-6.87838,-7.89464,-5.91278,-10.2311,-13.4706,-6.17504,-6.97672,-9.89437,-3.85046,277.162,6.74278,5.96046,68.5453,-9.87202,-59.6046,-210.404,-50.4404,159.74,-162.125,147.186,98.9437,51.856,-28.4798,45.2995,-51.26,-67.4278,32.1865,-40.5312,-43.0271,60.7967,-413.656,-104.122,-46.4916,9.53674,-24.2889,-26.226,-97.1556,-78.9762,11.9209,-81.6584,-252.724,107.288,-180.006,843.406,337.362,14.6031,128.746,115.633,11.6229,98.3477,-220.537,1689.41,1376.13,1526.44,1533.35,1543.19,1621.91,1639.8,1546.38,1621.6,1619.66,1371.14,1320.1,1143.39,1203.2,-3.48091,-3.73125,-5.93662,-6.7234,-4.19617,-6.92606,-5.8651,-4.39882,-8.63075,-7.85589,-12.4454,-9.56059,-12.3262,-7.84397,121.593,-32.1865,34.5707,32.1865,63.1809,4.76837,33.3786,-251.532,-21.4577,-36.9549,5.96046,318.289,139.475,-180.006
