Trajectories
100
,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,706.065,15.9432,1533.02,468.514,-19.5265,1294.58,769.889,10.5891,1317.33,539.703,-14.2884,1435.8,543.823,10.932,1443.13,606.783,160.757,1472.12,738.582,96.7748,1451.81,769.229,93.1279,1333.38,674.434,211.027,1425.43,634.013,222.311,1438.44,554.201,253.331,1148.57,518.358,167.471,1131.98,429.501,282.747,896.599,419.61,349.924,932.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687.88,1376.89,1525.85,1533.95,1542.23,1600.36,1631.76,1542.17,1590.99,1587.61,1300.2,1256.24,1033.59,1081.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,706.1,15.9497,1532.98,468.547,-19.5413,1294.59,769.921,10.5988,1317.31,539.749,-14.2959,1435.81,543.862,10.8721,1443.11,606.788,160.765,1472.09,738.582,96.7963,1451.77,769.255,93.1694,1333.34,674.453,211.045,1425.4,634.022,222.313,1438.41,554.222,253.282,1148.55,518.485,167.546,1131.94,429.535,282.726,896.545,419.728,349.904,932.842,3.49879,0.652112,-4.26769,3.31104,-1.47428,0.214577,3.23057,0.967272,-2.41995,4.64916,-0.741147,0.834465,3.93987,-5.99166,-1.88351,0.5126,0.792742,-2.87294,-0.0417233,2.14726,-3.95775,2.5928,4.14848,-3.42131,1.94907,1.85072,-2.86102,0.858307,0.202656,-2.77758,2.11596,-4.87864,-2.07424,12.7375,7.54893,-4.78029,3.36468,-2.07126,-5.34058,11.7958,-2.00272,-6.22869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687.85,1376.91,1525.84,1533.97,1542.23,1600.34,1631.72,1542.15,1590.97,1587.59,1300.18,1256.26,1033.55,1081.11,-2.40803,1.34706,-0.452995,2.41995,-0.405312,-2.37226,-3.40939,-1.41859,-1.49012,-2.13385,-1.88351,1.95503,-3.80278,-1.44243,,,,,,,,,,,,,,
3,0,706.134,15.953,1532.94,468.568,-19.5579,1294.6,769.955,10.6085,1317.29,539.792,-14.3057,1435.81,543.897,10.8338,1443.1,606.8,160.76,1472.06,738.59,96.804,1451.74,769.279,93.2004,1333.32,674.469,211.05,1425.38,634.036,222.314,1438.39,554.228,253.24,1148.54,,,,429.597,282.71,896.495,419.835,349.89,932.783,3.36766,0.321493,-3.40939,2.10106,-1.66818,1.0848,3.38554,0.970624,-1.88351,4.24385,-0.988599,0.905991,3.42131,-3.83649,-0.667572,1.19805,-0.528991,-3.15905,0.798702,0.77039,-3.26633,2.32458,3.10093,-2.58684,1.52588,0.463426,-2.41995,1.45435,0.108778,-2.12193,0.554323,-4.13954,-0.596046,,,,6.25849,-1.62125,-5.02467,10.6573,-1.40071,-5.82933,-13.113,-33.062,85.8307,-120.997,-19.3901,87.0228,15.4972,0.335276,53.6442,-40.5312,-24.7452,7.15256,-51.856,215.517,121.593,68.5453,-132.173,-28.6102,84.0425,-137.687,69.1414,-26.8221,-104.755,83.4465,-42.3193,-138.73,44.1074,59.6046,-9.38773,65.5651,-156.164,73.9098,147.82,,,,289.381,45.0015,31.5905,-113.845,60.2007,39.9351,1687.84,1376.92,1525.84,1534,1542.23,1600.31,1631.7,1542.14,1590.96,1587.57,1300.17,,1033.53,1081.1,-1.68085,1.75238,0.0953674,2.36034,0.548363,-2.49147,-2.5034,-0.89407,-1.45435,-1.33514,-1.09673,,-2.20537,-1.34706,72.7177,40.5312,54.8363,-5.96046,95.3674,-11.9209,90.5991,52.4521,3.57628,79.8702,78.6781,,159.74,9.53674
4,0,706.165,15.9534,1532.92,468.58,-19.5781,1294.61,769.99,10.6182,1317.28,539.83,-14.318,1435.82,543.928,10.8094,1443.11,606.82,160.747,1472.03,738.606,96.8,1451.72,769.299,93.2217,1333.3,674.482,211.041,1425.36,634.055,222.312,1438.38,554.223,253.214,1148.55,518.513,167.616,1131.93,429.681,282.691,896.45,419.93,349.879,932.731,3.18289,0.0393018,-2.38419,1.21891,-2.01724,1.78814,3.53456,0.972487,-1.35899,3.83854,-1.22096,0.941753,3.16501,-2.43532,0.26226,1.98483,-1.29491,-2.55108,1.62721,-0.404567,-2.3365,2.00272,2.12714,-1.71661,1.2815,-0.827014,-1.81198,1.93119,-0.168383,-1.26362,-0.494719,-2.6226,1.01328,,,,8.30293,-1.82986,-4.48823,9.56059,-1.05798,-5.26309,-18.4774,-28.2191,102.52,-88.2149,-34.906,70.3335,14.9012,0.186265,52.4521,-40.5312,-23.2365,3.57628,-25.63,140.117,92.9832,78.6781,-76.592,60.7967,82.8505,-117.496,92.9832,-32.1865,-97.3791,87.0228,-24.4379,-129.044,60.7967,47.6837,-27.7162,85.8307,-104.904,151.694,160.933,,,,204.444,-20.8616,53.6442,-109.673,34.2727,56.6244,1687.83,1376.94,1525.85,1534.02,1542.25,1600.29,1631.68,1542.14,1590.95,1587.57,1300.17,1256.27,1033.52,1081.08,-0.846386,2.13385,0.607967,2.24113,1.34706,-1.72853,-1.35899,-0.345707,-1.19209,-0.393391,0.178814,,-0.941753,-1.16825,83.4465,38.147,51.26,-11.9209,79.8702,76.2939,114.441,54.8363,26.226,94.1753,127.554,,126.362,17.8814
5,0,706.195,15.9519,1532.91,468.59,-19.6022,1294.64,770.027,10.6279,1317.27,539.865,-14.3321,1435.83,543.958,10.7883,1443.11,606.846,160.732,1472.02,738.629,96.7898,1451.7,769.315,93.2345,1333.29,674.496,211.024,1425.35,634.077,222.304,1438.38,554.214,253.207,1148.58,518.434,167.605,1131.96,429.773,282.669,896.418,420.017,349.868,932.687,2.99811,-0.14808,-1.15633,0.944734,-2.40952,2.25306,3.67165,0.972115,-0.846386,3.45111,-1.41347,0.965595,2.96831,-2.11541,0.834465,2.62856,-1.48416,-0.751019,2.32458,-1.01626,-1.18017,1.66297,1.28001,-0.882149,1.49608,-1.78367,-0.858307,2.19941,-0.859797,-0.143051,-0.882149,-0.709295,3.12328,-7.98106,-1.0252,3.52859,9.2417,-2.20835,-3.26037,8.66652,-1.11461,-4.40478,-18.4774,-18.7382,122.786,-27.4181,-39.2273,46.4916,13.7091,-0.0372529,51.26,-38.743,-19.2504,2.38419,-19.6695,31.9909,57.2205,64.373,-18.9245,180.006,69.7374,-61.1693,115.633,-33.9746,-84.7131,83.4465,21.4577,-95.6655,95.3674,26.8221,-69.1414,112.057,-38.743,191.331,211,,,,93.8773,-37.8489,122.786,-89.407,-5.66244,85.8307,1687.83,1376.97,1525.86,1534.04,1542.27,1600.3,1631.68,1542.14,1590.94,1587.58,1300.2,1256.27,1033.52,1081.08,0.214577,2.46763,1.13249,2.13385,1.81198,0.154972,-0.0596046,0.143051,-0.369549,0.631809,2.24113,-0.25034,0.417233,-0.798702,106.096,33.3786,52.4521,-10.7288,46.4916,188.351,129.938,48.8758,82.2544,102.52,206.232,,135.899,36.9549
6,0,706.223,15.9498,1532.91,468.603,-19.6291,1294.66,770.065,10.6376,1317.27,539.896,-14.3476,1435.84,543.985,10.7646,1443.13,606.875,160.72,1472.04,738.657,96.7806,1451.71,769.328,93.2403,1333.29,674.518,211.003,1425.35,634.102,222.286,1438.39,554.205,253.209,1148.64,518.316,167.565,1132.02,429.861,282.648,896.405,420.098,349.853,932.653,2.79546,-0.208244,0.143051,1.33216,-2.68929,2.30074,3.79086,0.970718,-0.38147,3.11136,-1.54916,0.977516,2.74181,-2.3664,1.27554,2.90275,-1.25617,1.49012,2.78354,-0.918657,0.143051,1.32918,0.57891,-0.0953674,2.14577,-2.06381,0.202656,2.41399,-1.78516,1.0252,-0.852346,0.169873,5.91278,-11.7719,-4.06355,5.78165,8.85427,-2.16663,-1.26958,8.09729,-1.51396,-3.39746,-20.2656,-6.01634,129.938,38.743,-27.9769,4.76837,11.9209,-0.139698,46.4916,-33.9746,-13.5694,1.19209,-22.6498,-25.0991,44.1074,27.4181,22.7988,224.113,45.8956,9.76026,132.322,-33.3786,-70.11,78.6781,64.9691,-28.0142,106.096,21.4577,-92.5362,116.825,2.98023,87.9169,278.95,-379.086,-303.835,225.306,-38.743,4.17233,199.08,-56.9224,-39.9351,100.732,1687.84,1377,1525.88,1534.06,1542.29,1600.32,1631.7,1542.15,1590.95,1587.59,1300.24,1256.26,1033.54,1081.07,1.28746,2.65837,1.58548,2.02656,2.14577,2.34842,1.33514,0.607967,0.822544,1.64509,4.8995,-0.190735,1.9908,-0.274181,107.288,19.0735,45.2995,-10.7288,33.3786,219.345,139.475,46.4916,119.209,101.328,265.837,5.96046,157.356,52.4521
7,0,706.249,15.9482,1532.92,468.623,-19.656,1294.68,770.104,10.6473,1317.27,539.924,-14.3638,1435.85,544.012,10.7426,1443.14,606.902,160.712,1472.07,738.687,96.7771,1451.72,769.339,93.2409,1333.3,674.545,210.988,1425.36,634.129,222.264,1438.41,554.198,253.214,1148.71,518.182,167.503,1132.09,429.931,282.626,896.409,420.176,349.834,932.628,2.58684,-0.156648,1.18017,1.99676,-2.68817,1.71661,3.91603,0.972487,0.0119209,2.84314,-1.61752,0.917912,2.61664,-2.20239,1.27554,2.62856,-0.789762,3.08752,2.96831,-0.348687,1.10865,1.055,0.0625849,0.464916,2.68817,-1.46627,1.06096,2.72393,-2.23815,1.85966,-0.77486,0.551343,7.1764,-13.3753,-6.20037,7.29561,6.97076,-2.14279,0.452995,7.78437,-1.95205,-2.49147,-20.8616,5.15953,103.712,66.4592,0.111759,-58.4126,12.517,0.176951,39.3391,-26.8221,-6.83591,-5.96046,-12.517,16.4006,0,-27.4181,46.6406,159.74,18.4774,56.9969,96.5595,-27.4181,-51.6325,56.0284,54.2402,59.7537,85.8307,30.9944,-45.2995,83.4465,7.7486,38.147,126.362,-160.336,-213.683,151.396,-188.351,2.38419,172.257,-31.2924,-43.8094,90.5991,1687.86,1377.02,1525.9,1534.08,1542.31,1600.36,1631.72,1542.16,1590.97,1587.62,1300.31,1256.27,1033.57,1081.08,2.15769,2.3365,2.00272,1.87159,2.08616,3.75509,2.31266,0.941753,1.89543,2.45571,6.11544,0.238419,2.70605,0.238419,87.0228,-32.1865,41.7233,-15.4972,-5.96046,140.667,97.7516,33.3786,107.288,81.0623,121.593,42.9153,71.5256,51.26
8,0,706.273,15.9472,1532.94,468.647,-19.6802,1294.68,770.144,10.6572,1317.27,539.95,-14.3796,1435.86,544.039,10.7285,1443.15,606.923,160.709,1472.1,738.716,96.7797,1451.73,769.348,93.238,1333.3,674.57,210.985,1425.38,634.157,222.244,1438.43,554.192,253.231,1148.77,518.057,167.439,1132.17,429.973,282.594,896.415,420.252,349.811,932.607,2.37823,-0.0994653,1.71661,2.38419,-2.42144,0.667572,4.02331,0.981148,0.298023,2.64049,-1.58176,0.798702,2.78354,-1.40443,0.751019,2.10404,-0.296533,3.48091,2.95043,0.26077,1.45435,0.905991,-0.291318,0.751019,2.52128,-0.336766,1.50204,2.85506,-1.9908,1.9908,-0.572205,1.67787,5.25713,-12.5527,-6.32405,7.58171,4.15146,-3.19183,0.596046,7.63237,-2.21431,-2.03848,-20.8616,5.71832,53.6442,38.743,26.6731,-104.904,10.7288,0.86613,28.6102,-20.2656,3.57628,-11.9209,16.6893,79.7957,-52.4521,-52.4521,49.3228,39.3391,-1.78814,60.9457,34.5707,-14.9012,-35.3903,28.6102,-16.6893,112.951,44.1074,13.113,24.7359,13.113,20.2656,112.653,-191.927,82.2544,-12.368,28.6102,-281.93,-104.904,14.3051,-15.1992,-26.226,45.2995,1687.89,1377.03,1525.92,1534.1,1542.33,1600.4,1631.75,1542.17,1590.99,1587.64,1300.35,1256.27,1033.58,1081.08,2.55108,1.46627,2.28882,1.69277,1.68085,3.96967,2.64645,1.07288,2.36034,2.65837,4.72069,0.810623,1.37091,0.500679,39.3391,-87.0228,28.6102,-17.8814,-40.5312,21.4577,33.3786,13.113,46.4916,20.2656,-139.475,57.2205,-133.514,26.226
9,0,706.295,15.9457,1532.95,468.671,-19.7022,1294.68,770.186,10.6672,1317.27,539.975,-14.3936,1435.87,544.068,10.7232,1443.15,606.938,160.709,1472.13,738.744,96.7849,1451.74,769.357,93.2332,1333.31,674.586,210.992,1425.39,634.184,222.233,1438.44,554.194,253.259,1148.78,517.971,167.395,1132.23,429.988,282.543,896.404,420.327,349.789,932.586,2.21729,-0.151992,1.7643,2.40505,-2.19699,-0.369549,4.15444,1.00061,0.488758,2.48551,-1.40239,0.607967,2.82526,-0.529177,0.0476837,1.57356,0.0357628,2.75373,2.74181,0.520051,1.28746,0.90003,-0.477582,0.739098,1.57356,0.667572,1.68085,2.67029,-1.055,1.52588,0.214577,2.8193,1.78814,-8.58307,-4.43161,6.29425,1.55866,-5.13196,-1.13249,7.54297,-2.25306,-2.15769,-16.0933,-5.25266,4.76837,2.08616,22.4449,-103.712,13.113,1.94646,19.0735,-15.4972,17.9373,-19.0735,4.17233,87.5257,-70.3335,-53.0481,33.2296,-72.7177,-20.8616,25.928,-16.6893,-0.596046,-18.6265,-1.19209,-94.7714,100.434,17.8814,-18.4774,93.5793,-46.4916,78.6781,114.143,-346.899,396.967,189.245,-128.746,-259.28,-194.013,-172.853,-8.9407,-3.8743,-11.9209,1687.91,1377.04,1525.95,1534.11,1542.34,1600.43,1631.77,1542.18,1591.02,1587.67,1300.38,1256.29,1033.57,1081.08,2.52724,0.500679,2.52724,1.45435,1.03712,3.1352,2.40803,1.06096,2.26498,2.31266,2.22921,1.5378,-1.74046,0.333786,-2.38419,-96.5595,23.8419,-23.8419,-64.373,-83.4465,-23.8419,-1.19209,-9.53674,-34.5707,-249.147,72.7177,-311.136,-16.6893
