Trajectories
100
,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,698.837,-7.28982,1538.54,469.619,-26.1868,1288.24,771.899,-6.9469,1325.23,534.164,-27.076,1431.7,538.47,-2.53308,1440.62,614.185,139.41,1482.15,742.101,70.2026,1463.27,775.202,72.205,1343.41,690.457,186.492,1445.77,649.565,199.314,1454.86,616.681,266.169,1162.25,673.043,195.118,1128.87,550.945,291.833,894.416,513.014,220.251,895.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689.83,1371.42,1533.66,1528.34,1537.97,1610.41,1642.2,1552.71,1612.99,1605.71,1342.38,1328.69,1090.27,1055.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,698.698,-7.13543,1538.52,469.564,-25.9983,1288.16,771.836,-6.80429,1325.25,534.121,-27.0963,1431.64,538.366,-2.42964,1440.58,614.031,139.552,1482.12,741.986,70.3448,1463.29,775.13,72.3608,1343.48,690.322,186.622,1445.74,649.421,199.445,1454.85,616.607,266.242,1162.18,672.976,195.204,1128.82,550.931,291.857,894.314,513.083,220.242,895.588,-13.8819,15.4387,-1.40667,-5.46277,18.8524,-8.01086,-6.32405,14.2612,1.75238,-4.31538,-2.02488,-5.61476,-10.3891,10.3441,-3.74317,-15.4197,14.2083,-2.90871,-11.5454,14.2209,1.58548,-7.1466,15.5784,7.18832,-13.5303,13.0504,-2.2769,-14.4243,13.0504,-1.32322,-7.41482,7.28369,-7.55787,-6.70552,8.55476,-5.09024,-1.39475,2.38717,-10.1328,6.99759,-0.89407,-6.78897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689.76,1371.32,1533.65,1528.27,1537.89,1610.34,1642.16,1552.74,1612.93,1605.65,1342.29,1328.62,1090.19,1055.39,-7.09295,-9.75132,-1.72853,-6.73532,-7.16448,-7.33137,-3.19481,3.37362,-6.31809,-5.42402,-8.49962,-6.47306,-8.36849,-2.53916,,,,,,,,,,,,,,
3,0,698.538,-6.97549,1538.48,469.51,-25.8311,1288.09,771.776,-6.66647,1325.27,534.033,-27.0631,1431.55,538.257,-2.28889,1440.51,613.891,139.684,1482.08,741.87,70.497,1463.29,775.066,72.5162,1343.53,690.189,186.754,1445.7,649.275,199.558,1454.81,616.51,266.406,1162.1,672.91,195.288,1128.77,550.922,291.881,894.214,513.128,220.245,895.507,-15.9562,15.9937,-4.25577,-5.39124,16.7198,-6.93798,-6.02603,13.7821,1.7643,-8.744,3.31458,-9.52482,-10.8659,14.0751,-6.78301,-13.9654,13.186,-4.18425,-11.5514,15.2104,-0.119209,-6.38366,15.5382,4.73261,-13.3157,13.1652,-4.55379,-14.6449,11.3875,-4.05312,-9.72152,16.3257,-8.09431,-6.62804,8.4281,-5.1856,-0.971556,2.43783,-9.9957,4.43459,0.278652,-8.01682,-207.424,55.5022,-284.91,7.15256,-213.254,107.288,29.8023,-47.9119,1.19209,-442.863,533.946,-391.006,-47.6837,373.102,-303.984,145.435,-102.222,-127.554,-0.596046,98.9437,-170.469,76.2939,-4.02331,-245.571,21.4577,11.4739,-227.69,-22.0537,-166.297,-272.989,-230.67,904.202,-53.6442,7.7486,-12.666,-9.53674,42.3193,5.06639,13.7091,-256.3,117.272,-122.786,1689.65,1371.23,1533.63,1528.15,1537.79,1610.26,1642.12,1552.76,1612.85,1605.57,1342.21,1328.56,1090.1,1055.34,-10.5381,-8.67844,-1.57356,-12.0401,-10.1805,-8.03471,-4.673,1.63317,-8.2612,-8.17776,-8.23736,-6.52075,-8.04663,-4.58956,-344.515,107.288,15.4972,-530.481,-301.599,-70.3335,-147.82,-174.046,-194.311,-275.373,26.226,-4.76837,32.1865,-205.04
4,0,698.371,-6.81549,1538.43,469.456,-25.6852,1288.03,771.717,-6.53482,1325.29,533.911,-26.9648,1431.44,538.166,-2.14964,1440.44,613.771,139.803,1482.03,741.748,70.6557,1463.27,775.003,72.6656,1343.56,690.058,186.869,1445.64,649.146,199.68,1454.76,616.401,266.622,1162.02,672.845,195.367,1128.72,550.918,291.909,894.122,513.169,220.249,895.42,-16.7608,16.0003,-5.29289,-5.35846,14.592,-5.81741,-5.81741,13.1654,1.74046,-12.2309,9.83123,-11.1461,-9.10759,13.9249,-7.41482,-11.9984,11.9597,-5.04255,-12.2309,15.8727,-1.43051,-6.29425,14.9444,2.51532,-13.0296,11.5588,-5.91278,-12.8448,12.1161,-4.63724,-10.854,21.6365,-7.9155,-6.4373,7.91699,-5.03063,-0.303984,2.76566,-9.27448,4.1306,0.411272,-8.72612,-80.4663,0.656582,-103.712,3.27826,-212.789,112.057,20.8616,-61.6722,-2.38419,-348.687,651.665,-162.125,175.834,-15.0222,-63.1809,196.695,-122.637,-85.8307,-67.9493,66.2357,-131.13,8.9407,-59.3811,-221.729,28.6102,-160.635,-135.899,180.006,72.8667,-58.4126,-113.249,531.077,17.8814,19.0735,-51.111,15.4972,66.7572,32.7826,72.1216,-30.3984,13.262,-70.9295,1689.53,1371.16,1533.62,1528,1537.69,1610.18,1642.06,1552.76,1612.75,1605.49,1342.13,1328.49,1090.03,1055.29,-11.8017,-7.58171,-1.4782,-14.8892,-10.1566,-8.16584,-6.11544,-0.26226,-9.53674,-7.89165,-7.54595,-6.3777,-7.02143,-5.31673,-126.362,109.673,9.53674,-284.91,2.38419,-13.113,-144.243,-189.543,-127.554,28.6102,69.1414,14.3051,102.52,-72.7177
5,0,698.22,-6.66679,1538.39,469.402,-25.5598,1287.99,771.659,-6.41167,1325.3,533.775,-26.8075,1431.34,538.092,-2.02822,1440.38,613.671,139.914,1481.98,741.62,70.8109,1463.25,774.931,72.8033,1343.56,689.935,186.958,1445.58,649.062,199.832,1454.74,616.306,266.816,1161.95,672.785,195.436,1128.67,550.925,291.938,894.042,513.202,220.258,895.339,-15.0979,14.8702,-3.14713,-5.427,12.5347,-4.70877,-5.81741,12.3145,1.54972,-13.566,15.7306,-9.52482,-7.39694,12.1414,-6.13928,-9.98974,11.0477,-4.64916,-12.7912,15.5188,-2.01464,-7.21812,13.7731,0.727177,-12.3858,8.89897,-5.81741,-8.45194,15.2707,-2.81334,-9.56059,19.4073,-6.71148,-6.07371,6.83963,-4.52995,0.697374,2.91169,-7.92742,3.29614,0.859797,-8.1718,166.297,-113.007,214.577,-6.85453,-205.729,110.865,0,-85.0856,-19.0735,-133.514,589.937,162.125,171.065,-178.351,127.554,200.868,-91.1951,39.3391,-56.0284,-35.3903,-58.4126,-92.3872,-117.123,-178.814,64.373,-265.986,9.53674,439.286,315.458,182.39,129.342,-222.921,120.401,36.3588,-107.735,50.0679,100.136,14.6031,134.706,-83.4465,44.8525,55.4323,1689.44,1371.09,1533.6,1527.86,1537.61,1610.11,1641.99,1552.73,1612.66,1605.45,1342.07,1328.43,1089.98,1055.23,-9.16719,-6.50883,-1.63317,-13.9356,-8.35657,-7.12872,-6.90222,-2.3365,-9.47714,-4.06504,-6.34193,-5.91278,-5.36442,-5.14984,263.453,107.288,-15.4972,95.3674,180.006,103.712,-78.6781,-207.424,5.96046,382.662,120.401,46.4916,165.701,16.6893
6,0,698.102,-6.53753,1538.4,469.346,-25.4537,1287.95,771.598,-6.29771,1325.31,533.649,-26.6286,1431.28,538.02,-1.91333,1440.34,613.588,140.02,1481.95,741.5,70.9536,1463.24,774.857,72.9258,1343.56,689.823,187.049,1445.54,649.026,200.008,1454.73,616.234,266.942,1161.9,672.729,195.491,1128.63,550.941,291.961,893.978,513.212,220.278,895.273,-11.8375,12.9255,0.762939,-5.64456,10.6134,-3.73125,-6.07967,11.3959,1.2517,-12.6839,17.8952,-6.3777,-7.16448,11.4894,-4.06504,-8.33273,10.623,-2.96831,-12.0342,14.2701,-1.50204,-7.39098,12.2502,-0.190735,-11.1401,9.06289,-4.23193,-3.51667,17.5387,-0.143051,-7.15256,12.6302,-5.1856,-5.59092,5.52684,-3.85046,1.54376,2.3365,-6.48499,0.953674,2.03848,-6.52671,326.037,-194.469,391.006,-21.7557,-192.132,97.7516,-26.226,-91.8563,-29.8023,88.2149,216.458,314.713,23.2458,-65.1926,207.424,165.701,-42.4683,168.085,75.6979,-124.872,51.26,-17.2853,-152.29,-91.7912,124.574,16.3913,158.548,493.526,226.796,267.029,240.803,-677.705,152.588,48.2798,-131.279,67.9493,84.6386,-57.5185,144.243,-234.246,117.868,164.509,1689.4,1371.04,1533.58,1527.76,1537.54,1610.06,1641.92,1552.7,1612.58,1605.46,1342.02,1328.38,1089.94,1055.19,-4.25577,-5.6386,-2.02656,-10.7169,-6.33001,-4.98295,-6.16312,-3.27826,-7.51019,0.631809,-5.25713,-5.28097,-3.91006,-4.64916,491.142,87.0228,-39.3391,321.865,202.656,214.577,73.9098,-94.1753,196.695,469.685,108.48,63.1809,145.435,50.0679
7,0,698.014,-6.42483,1538.44,469.286,-25.3649,1287.92,771.533,-6.19198,1325.32,533.54,-26.4706,1431.24,537.942,-1.80403,1440.32,613.512,140.126,1481.94,741.393,71.0797,1463.23,774.822,73.0369,1343.56,689.725,187.177,1445.51,649.007,200.16,1454.74,616.18,267.009,1161.85,672.678,195.535,1128.6,550.958,291.976,893.921,513.189,220.314,895.224,-8.72016,11.2704,4.23193,-6.02603,8.88538,-3.016,-6.54459,10.5734,0.917912,-10.8898,15.793,-4.02927,-7.83205,10.9295,-1.75238,-7.56383,10.6275,-1.69277,-10.711,12.6153,-0.846386,-3.48091,11.1029,0.298023,-9.86457,12.8046,-2.57492,-1.94311,15.232,0.309944,-5.42998,6.67274,-4.49419,-5.08428,4.4629,-3.24249,1.7345,1.44541,-5.63264,-2.23517,3.61651,-4.9293,311.732,-165.505,346.899,-38.147,-172.798,71.5256,-46.4916,-82.2544,-33.3786,179.41,-210.218,234.842,-66.7572,-55.9922,231.266,76.89,0.447035,127.554,132.322,-165.477,65.5651,391.006,-114.739,48.8758,127.554,374.168,165.701,157.356,-230.67,45.2995,172.257,-595.748,69.1414,50.6639,-106.394,60.7967,19.0735,-89.1089,85.2346,-318.885,157.803,159.74,1689.4,1370.99,1533.55,1527.68,1537.5,1610.02,1641.87,1552.69,1612.53,1605.47,1341.97,1328.33,1089.91,1055.14,0.214577,-5.05447,-2.55108,-7.85589,-4.3869,-3.51667,-5.05447,-0.953674,-5.04255,1.39475,-5.06639,-4.673,-3.3617,-4.51803,447.035,58.4126,-52.4521,286.102,194.311,146.627,110.865,232.458,246.763,76.2939,19.0735,60.7967,54.8363,13.113
8,0,697.94,-6.31654,1538.5,469.22,-25.2906,1287.89,771.462,-6.09321,1325.33,533.446,-26.3566,1431.2,537.858,-1.70344,1440.31,613.435,140.238,1481.92,741.289,71.1929,1463.22,774.855,73.1426,1343.58,689.63,187.32,1445.49,648.949,200.256,1454.71,616.133,267.05,1161.8,672.632,195.574,1128.57,550.971,291.984,893.864,513.137,220.365,895.178,-7.43866,10.8288,5.42402,-6.53565,7.42674,-2.64645,-7.14064,9.87719,0.560284,-9.38177,11.407,-3.26633,-8.43406,10.0595,-0.715256,-7.7188,11.1774,-1.9908,-10.4189,11.3204,-1.15633,3.27229,10.5768,1.72853,-9.44734,14.247,-2.64645,-5.81741,9.574,-2.47955,-4.63128,4.07398,-5.04255,-4.5836,3.81619,-2.94447,1.28746,0.822544,-5.74589,-5.23925,5.04106,-4.6134,128.15,-44.1633,119.209,-50.962,-145.864,36.9549,-59.6046,-69.621,-35.7628,150.8,-438.597,76.2939,-60.2007,-86.9984,103.712,-15.4972,54.9853,-29.8023,29.2063,-129.491,-30.9944,675.321,-52.6011,143.051,41.7233,144.243,-7.15256,-387.43,-565.797,-278.95,79.8702,-259.876,-54.8363,50.0679,-64.671,29.8023,-44.7035,-62.2869,-11.3249,-300.407,142.455,31.5905,1689.42,1370.94,1533.52,1527.61,1537.46,1609.98,1641.82,1552.73,1612.49,1605.44,1341.91,1328.29,1089.87,1055.09,1.81198,-4.86374,-3.1352,-6.53267,-3.63588,-3.80278,-5.23329,3.63588,-4.75645,-3.40939,-5.67436,-4.26769,-3.83854,-5.4121,159.74,19.0735,-58.4126,132.322,75.1019,-28.6102,-17.8814,458.956,28.6102,-480.413,-60.7967,40.5312,-47.6837,-89.407
9,0,697.854,-6.20028,1538.53,469.149,-25.2276,1287.87,771.383,-5.99943,1325.33,533.361,-26.2809,1431.17,537.768,-1.60747,1440.29,613.348,140.352,1481.88,741.177,71.2996,1463.2,774.928,73.2431,1343.61,689.53,187.446,1445.45,648.855,200.319,1454.66,616.093,267.093,1161.74,672.589,195.607,1128.54,550.976,291.986,893.792,513.077,220.417,895.12,-8.64267,11.6264,3.61204,-7.10487,6.30151,-2.57492,-7.86781,9.37725,0.298023,-8.47578,7.56979,-3.44515,-8.95858,9.5971,-1.70469,-8.64863,11.4128,-3.60012,-11.1878,10.6685,-2.00272,7.29561,10.0464,2.65837,-9.98378,12.6138,-3.93391,-9.38177,6.37025,-5.14984,-4.07696,4.30942,-6.19888,-4.27961,3.37213,-3.02792,0.458956,0.187755,-7.15256,-6.03199,5.16772,-5.79357,-120.401,79.7585,-181.198,-56.9224,-112.522,7.15256,-72.7177,-49.9934,-26.226,90.5991,-383.724,-17.8814,-52.4521,-46.2437,-98.9437,-92.9832,23.5438,-160.933,-76.89,-65.1926,-84.6386,402.331,-53.0481,92.9832,-53.6442,-163.317,-128.746,-356.436,-320.375,-267.029,55.4323,23.5438,-115.633,30.3984,-44.4055,-8.34465,-82.8505,-63.4789,-140.667,-79.2742,12.666,-118.017,1689.42,1370.89,1533.48,1527.55,1537.42,1609.93,1641.76,1552.79,1612.42,1605.36,1341.85,1328.25,1089.81,1055.02,-0.309944,-4.97103,-3.74317,-6.31809,-4.74453,-5.61476,-6.36578,6.40154,-6.34193,-7.65324,-6.3777,-4.24385,-5.59092,-6.75917,-212.193,-10.7288,-60.7967,21.4577,-110.865,-181.198,-113.249,276.566,-158.548,-424.385,-70.3335,2.38419,-175.238,-134.706
