Trajectories
100
,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,702.065,-6.94622,1536.88,467.876,-21.6123,1291.24,770.538,-5.58518,1321.61,536.864,-26.1239,1433.51,541.112,-1.51658,1442.3,623.703,134.468,1495.63,744.311,67.4507,1459.1,769.22,72.0361,1339.59,699.606,180.138,1455.09,661.11,194.499,1470.96,636.359,280.196,1184.12,652.777,196.375,1134.8,398.982,264.553,1036.81,378.15,256.005,1113.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689.66,1373.57,1529.84,1530.96,1540.46,1626.04,1639.36,1546.41,1624.55,1624.38,1373.17,1323.8,1141.99,1203.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,702.128,-6.89818,1536.79,467.887,-21.6617,1291.25,770.526,-5.60762,1321.56,536.838,-26.0139,1433.45,541.147,-1.53131,1442.32,623.751,134.461,1495.61,744.356,67.4519,1459.08,769.266,72.0299,1339.57,699.652,180.149,1455.06,661.17,194.484,1470.95,636.351,280.19,1184.11,652.802,196.311,1134.82,398.982,264.584,1036.84,378.151,256.025,1113.16,6.29425,4.80423,-8.85725,1.12057,-4.93787,0.834465,-1.19805,-2.24458,-5.4121,-2.5928,10.9956,-5.84126,3.51071,-1.47349,1.8239,4.81009,-0.678003,-2.55108,4.51803,0.12517,-2.24113,4.56572,-0.613928,-2.32458,4.57168,1.06543,-2.36034,5.9545,-1.51843,-1.50204,-0.864267,-0.64671,-0.798702,2.52128,-6.37472,1.91927,0.0119209,3.06666,3.3021,0.0864267,1.99974,4.39882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689.6,1373.58,1529.79,1530.9,1540.49,1626.04,1639.36,1546.42,1624.55,1624.39,1373.16,1323.82,1142.03,1203.19,-5.45979,1.23978,-5.26905,-6.56843,2.95639,-0.560284,0.0596046,0.226498,-0.0357628,0.89407,-1.21593,1.95503,3.70741,4.51803,,,,,,,,,,,,,,
3,0,702.183,-6.88884,1536.73,467.893,-21.6758,1291.28,770.53,-5.62994,1321.51,536.808,-25.9235,1433.4,541.177,-1.53181,1442.36,623.803,134.457,1495.6,744.407,67.4529,1459.05,769.313,72.0313,1339.54,699.711,180.149,1455.05,661.225,194.474,1470.94,636.353,280.188,1184.1,652.818,196.289,1134.83,398.977,264.612,1036.89,378.152,256.051,1113.21,5.42998,0.933697,-6.22272,0.599027,-1.41263,2.43187,0.429153,-2.23159,-5.22137,-2.97427,9.04296,-4.60148,3.02792,-0.0495813,4.48227,5.21541,-0.448525,-1.18017,5.126,0.0931323,-2.46763,4.72069,0.13262,-2.81334,5.87702,0.0223517,-1.46627,5.47767,-0.965595,-0.727177,0.178814,-0.199676,-0.309944,1.62125,-2.22623,0.739098,-0.548363,2.85506,4.93526,0.101328,2.5779,4.54187,-86.4267,-387.053,263.453,-52.1541,352.524,159.74,162.721,1.2992,19.0735,-38.147,-195.261,123.978,-48.2798,142.391,265.837,40.5312,22.9478,137.091,60.7967,-3.20375,-22.6498,15.4972,74.6548,-48.8758,130.534,-104.308,89.407,-47.6837,55.2833,77.486,104.308,44.7035,48.8758,-90.003,414.848,-118.017,-56.0284,-21.1596,163.317,1.49012,57.8165,14.3051,1689.57,1373.6,1529.75,1530.84,1540.54,1626.04,1639.37,1546.42,1624.56,1624.41,1373.15,1323.83,1142.08,1203.24,-3.40939,2.5034,-4.29153,-5.50747,5.24521,0.882149,0.13113,-0.0834465,1.21593,1.45435,-0.226498,1.09673,4.95911,4.78029,205.04,126.362,97.7516,106.096,228.882,144.243,7.15256,-30.9944,125.17,56.0284,98.9437,-85.8307,125.17,26.226
4,0,702.246,-6.90052,1536.7,467.897,-21.6673,1291.31,770.551,-5.65193,1321.46,536.783,-25.8646,1433.38,541.205,-1.53293,1442.43,623.859,134.451,1495.59,744.461,67.4524,1459.01,769.362,72.0394,1339.51,699.771,180.131,1455.04,661.276,194.467,1470.93,636.365,280.19,1184.11,652.824,196.298,1134.82,398.967,264.633,1036.95,378.154,256.08,1113.25,6.34789,-1.16797,-3.06368,0.408292,0.851601,3.15905,2.0802,-2.19927,-4.98295,-2.5034,5.88596,-2.57492,2.82526,-0.112271,6.50883,5.54323,-0.573695,-0.345707,5.43594,-0.0491738,-3.80278,4.85182,0.810623,-3.15905,6.07967,-1.79857,-1.16825,5.13196,-0.728667,-0.417233,1.23978,0.175834,0.154972,0.584126,0.962615,-0.691414,-0.905991,2.01762,5.61476,0.190735,2.92063,4.673,91.7912,-210.167,315.905,-19.0735,226.423,72.7177,165.105,3.23169,23.8419,47.0877,-315.7,202.656,-20.2656,-6.26897,202.656,32.7826,-12.517,83.4465,30.9944,-14.2306,-133.514,13.113,67.8003,-34.5707,20.2656,-182.092,29.8023,-34.5707,23.6928,30.9944,106.096,37.5509,46.4916,-103.712,318.885,-143.051,-35.7628,-83.7445,67.9493,8.9407,34.2727,13.113,1689.57,1373.64,1529.72,1530.81,1540.62,1626.06,1639.36,1546.41,1624.58,1624.42,1373.16,1323.83,1142.13,1203.29,-0.13113,3.09944,-3.24249,-3.38554,7.08103,1.7643,-0.917912,-0.286102,1.38283,1.62125,0.751019,-0.166893,5.24521,5.00679,327.826,59.6046,104.904,212.193,183.582,88.2149,-104.904,-20.2656,16.6893,16.6893,97.7516,-126.362,28.6102,22.6498
5,0,702.341,-6.91882,1536.7,467.904,-21.6557,1291.34,770.588,-5.67292,1321.41,536.77,-25.8391,1433.38,541.246,-1.5522,1442.5,623.916,134.443,1495.59,744.52,67.4467,1458.96,769.413,72.0527,1339.48,699.821,180.107,1455.02,661.326,194.459,1470.93,636.387,280.196,1184.11,652.82,196.327,1134.8,398.958,264.645,1037,378.158,256.109,1113.3,9.44734,-1.82912,0.214577,0.685453,1.15801,3.14713,3.74317,-2.09929,-4.76837,-1.27554,2.55071,-0.238419,4.05312,-1.92713,7.22408,5.73397,-0.832975,-0.226498,5.8651,-0.566244,-5.22137,5.07832,1.33514,-3.37362,4.9293,-2.40207,-1.89543,5.02467,-0.783801,-0.727177,2.22921,0.607967,0.38147,-0.441074,2.83122,-2.07424,-0.929832,1.2815,5.11408,0.369549,2.94447,4.75645,309.944,-66.1146,327.826,27.7162,30.6405,-1.19209,166.297,9.99775,21.4577,122.786,-333.525,233.65,122.786,-181.486,71.5256,19.0735,-25.928,11.9209,42.9153,-51.707,-141.859,22.6498,52.4521,-21.4577,-115.037,-60.3497,-72.7177,-10.7288,-5.51343,-30.9944,98.9437,43.2134,22.6498,-102.52,186.861,-138.283,-2.38419,-73.6117,-50.0679,17.8814,2.38419,8.34465,1689.61,1373.67,1529.69,1530.8,1540.7,1626.08,1639.34,1546.41,1624.58,1624.44,1373.18,1323.82,1142.18,1203.34,4.12464,3.18289,-2.22921,-0.715256,8.2016,1.93119,-2.00272,-0.321865,0.154972,1.29938,1.4782,-1.57356,4.6134,5.13792,425.577,8.34465,101.328,267.029,112.057,16.6893,-108.48,-3.57628,-122.786,-32.1865,72.7177,-140.667,-63.1809,13.113
6,0,702.454,-6.93324,1536.7,467.911,-21.6557,1291.37,770.641,-5.69136,1321.36,536.772,-25.8323,1433.39,541.306,-1.58501,1442.56,623.974,134.436,1495.58,744.583,67.4458,1458.9,769.466,72.068,1339.44,699.857,180.098,1454.99,661.379,194.45,1470.91,636.417,280.206,1184.11,652.816,196.359,1134.78,398.952,264.661,1037.04,378.164,256.137,1113.35,11.301,-1.44201,0.596046,0.682473,0.00279397,3.11136,5.33462,-1.84309,-4.48227,0.12517,0.682101,1.62125,6.00815,-3.28085,6.49691,5.84126,-0.660121,-0.715256,6.28829,-0.0908971,-5.67436,5.33462,1.52811,-3.45707,3.61204,-0.865757,-2.64645,5.23329,-0.864267,-1.4782,3.00407,1.08182,0.0953674,-0.38743,3.19779,-2.3365,-0.610948,1.53482,4.11272,0.655651,2.72989,4.79221,185.37,38.7104,38.147,-0.298023,-115.521,-3.57628,159.144,25.6207,28.6102,140.071,-186.861,185.966,195.503,-135.372,-72.7177,10.7288,17.2853,-48.8758,42.3193,47.5347,-45.2995,25.63,19.297,-8.34465,-131.726,153.631,-75.1019,20.8616,-8.04663,-75.1019,77.486,47.3857,-28.6102,5.36442,36.6569,-26.226,31.8885,25.332,-100.136,28.6102,-21.4577,3.57628,1689.66,1373.7,1529.68,1530.82,1540.78,1626.1,1639.32,1546.41,1624.57,1624.44,1373.19,1323.8,1142.22,1203.4,5.25713,3.14713,-1.18017,1.54972,8.2016,1.51396,-2.19345,-0.286102,-0.905991,0.679493,1.70469,-1.71661,3.8743,5.22137,113.249,-3.57628,104.904,226.498,0,-41.7233,-19.0735,3.57628,-106.096,-61.9888,22.6498,-14.3051,-73.9098,8.34465
7,0,702.569,-6.93935,1536.69,467.911,-21.6727,1291.41,770.708,-5.70457,1321.32,536.782,-25.8282,1433.41,541.369,-1.59603,1442.61,624.035,134.435,1495.57,744.647,67.4638,1458.86,769.521,72.0821,1339.41,699.895,180.11,1454.96,661.435,194.442,1470.89,636.452,280.22,1184.1,652.825,196.382,1134.76,398.95,264.68,1037.07,378.174,256.16,1113.4,11.5812,-0.611274,-1.33514,-0.0119209,-1.70488,3.54052,6.64592,-1.3215,-4.25577,1.0848,0.406243,2.2769,6.34193,-1.10164,4.68493,6.02603,-0.0745058,-1.15633,6.37174,1.80155,-4.88758,5.51939,1.41263,-3.44515,3.86238,1.21891,-2.77758,5.65052,-0.849366,-2.13385,3.45111,1.32322,-0.727177,0.89407,2.3663,-1.18017,-0.226498,1.94013,3.38554,0.965595,2.36928,4.69685,28.0142,83.074,-193.119,-69.4394,-170.767,42.9153,131.13,52.1587,22.6498,95.9635,-27.5858,65.5651,33.3786,217.921,-181.198,18.4774,58.5616,-44.1074,8.34465,189.245,78.6781,18.4774,-11.5484,1.19209,25.034,208.467,-13.113,41.7233,1.49012,-65.5651,44.7035,24.1399,-82.2544,128.15,-83.1485,115.633,38.445,40.5312,-72.7177,30.9944,-36.0608,-9.53674,1689.7,1373.73,1529.68,1530.84,1540.85,1626.11,1639.3,1546.41,1624.56,1624.45,1373.21,1323.8,1142.25,1203.45,3.5882,3.34978,-0.321865,2.5034,6.61612,1.2517,-1.38283,-0.166893,-0.691414,0.274181,1.23978,-0.226498,3.44515,5.14984,-166.893,20.2656,85.8307,95.3674,-158.548,-26.226,81.0623,11.9209,21.4577,-40.5312,-46.4916,149.012,-42.9153,-7.15256
8,0,702.683,-6.93437,1536.66,467.904,-21.7046,1291.45,770.782,-5.70915,1321.28,536.796,-25.823,1433.43,541.412,-1.56445,1442.65,624.098,134.44,1495.56,744.709,67.4816,1458.82,769.577,72.0929,1339.37,699.953,180.13,1454.94,661.495,194.435,1470.87,636.487,280.231,1184.09,652.844,196.394,1134.77,398.952,264.7,1037.11,378.185,256.18,1113.44,11.3547,0.497559,-2.83718,-0.700355,-3.18456,4.31538,7.45058,-0.458304,-4.18425,1.36495,0.524707,1.85966,4.23193,3.15781,4.04119,6.31213,0.432134,-1.18017,6.25253,1.77994,-3.56436,5.54919,1.07735,-3.50475,5.73993,1.99527,-1.94311,6.03199,-0.731647,-2.12193,3.49879,1.12653,-1.65701,1.89543,1.16378,0.333786,0.220537,1.94311,3.34978,1.14739,1.91927,4.48227,-22.6498,110.883,-150.204,-68.8434,-147.969,77.486,80.4663,86.3196,7.15256,28.0142,11.8464,-41.7233,-211,425.945,-64.373,28.6102,50.6639,-2.38419,-11.9209,-2.16067,132.322,2.98023,-33.5276,-5.96046,187.755,77.635,83.4465,38.147,11.7719,1.19209,4.76837,-19.6695,-92.9832,100.136,-120.252,151.396,44.7035,0.298023,-3.57628,18.1794,-45.0015,-21.4577,1689.72,1373.77,1529.68,1530.87,1540.9,1626.12,1639.3,1546.4,1624.57,1624.45,1373.21,1323.81,1142.29,1203.5,2.14577,3.8743,0.143051,2.21729,5.25713,1.37091,-0.26226,-0.226498,0.953674,0.441074,0.417233,1.39475,3.57628,4.92334,-144.243,52.4521,46.4916,-28.6102,-135.899,11.9209,112.057,-5.96046,164.509,16.6893,-82.2544,162.125,13.113,-22.6498
9,0,702.796,-6.92429,1536.63,467.898,-21.735,1291.5,770.859,-5.70189,1321.24,536.809,-25.8198,1433.45,541.422,-1.49679,1442.72,624.163,134.445,1495.55,744.775,67.4923,1458.79,769.631,72.0997,1339.34,700.019,180.144,1454.93,661.557,194.43,1470.85,636.519,280.237,1184.06,652.861,196.399,1134.78,398.956,264.719,1037.14,378.197,256.194,1113.48,11.2593,1.00858,-2.94447,-0.536442,-3.04133,4.88758,7.63535,0.726339,-4.35114,1.30534,0.314042,1.83582,1.07288,6.76641,6.53267,6.54459,0.569224,-0.882149,6.56843,1.07288,-3.02792,5.43594,0.678003,-3.69549,6.61016,1.39773,-1.04904,6.1512,-0.455976,-1.5378,3.23653,0.581145,-2.19345,1.74046,0.497699,1.09673,0.438094,1.94907,3.09944,1.14143,1.42753,4.04119,-9.53674,51.1017,-10.7288,16.3913,14.3237,57.2205,18.4774,118.464,-16.6893,-5.96046,-21.0665,-2.38419,-315.905,360.86,249.147,23.2458,13.7091,29.8023,31.5905,-70.706,53.6442,-11.3249,-39.9351,-19.0735,87.0228,-59.7537,89.407,11.9209,27.5671,58.4126,-26.226,-54.5382,-53.6442,-15.4972,-66.6082,76.2939,21.7557,0.596046,-25.034,-0.596046,-49.1738,-44.1074,1689.74,1373.82,1529.68,1530.89,1540.96,1626.14,1639.3,1546.4,1624.59,1624.46,1373.21,1323.83,1142.32,1203.54,1.9908,4.45843,0.0834465,2.16961,6.48499,1.75238,0.333786,-0.452995,2.06232,1.06096,-0.274181,1.87159,3.40939,4.39882,-15.4972,58.4126,-5.96046,-4.76837,122.786,38.147,59.6046,-22.6498,110.865,61.9888,-69.1414,47.6837,-16.6893,-52.4521
