Trajectories
100
,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,688.809,-15.8442,1537.67,457.628,-26.5342,1289.82,762.107,-17.2013,1325.2,524.314,-32.248,1432.09,529.236,-7.70278,1440.75,603.955,134.366,1478.93,731.413,62.7566,1463.81,767.812,63.756,1345.47,678.994,179.119,1439.64,640.534,193.259,1450.64,597.735,294.577,1176.35,607.585,213.401,1119.78,359.844,299.881,1021.46,338.208,296.605,1097.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684.98,1368.86,1528.81,1525.39,1534.89,1603.14,1637.58,1550.45,1601.78,1597.49,1351.99,1291.75,1123.74,1186.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,688.784,-15.8972,1537.7,457.614,-26.5487,1289.82,762.098,-17.2397,1325.23,524.262,-32.3118,1432.08,529.206,-7.74028,1440.75,603.925,134.319,1478.95,731.369,62.73,1463.84,767.756,63.7201,1345.49,678.958,179.061,1439.68,640.456,193.162,1450.64,597.499,294.283,1176.31,607.71,213.545,1119.85,359.829,299.836,1021.46,338.134,296.589,1097.57,-2.47955,-5.30351,2.34842,-1.3113,-1.45212,-0.667572,-0.929832,-3.84357,3.83854,-5.13792,-6.37434,-0.572205,-2.97427,-3.75034,-0.0238419,-3.02196,-4.67151,2.18153,-4.41074,-2.66284,2.2769,-5.63264,-3.58671,2.3365,-3.6478,-5.83827,3.32594,-7.79629,-9.67681,-0.190735,-23.6213,-29.4715,-3.89814,12.517,14.3886,7.21216,-1.46925,-4.53293,0.107288,-7.38502,-1.52886,-15.9025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684.99,1368.85,1528.84,1525.37,1534.88,1603.14,1637.57,1550.44,1601.78,1597.45,1351.78,1291.89,1123.72,1186.15,1.18017,-1.03712,2.89679,-2.16961,-1.03712,0.476837,-0.0357628,-0.905991,0.77486,-4.47035,-20.2537,14.5078,-1.58548,-17.2019,,,,,,,,,,,,,,
3,0,688.754,-15.9415,1537.7,457.598,-26.5655,1289.81,762.085,-17.2744,1325.25,524.235,-32.3377,1432.08,529.173,-7.78095,1440.74,603.891,134.27,1478.96,731.324,62.6858,1463.85,767.714,63.6834,1345.51,678.922,179.013,1439.69,640.36,193.055,1450.61,597.411,294.255,1176.3,607.813,213.623,1119.89,359.813,299.809,1021.45,338.107,296.598,1097.52,-2.99811,-4.42397,0.798702,-1.64807,-1.68346,-1.0252,-1.28746,-3.47272,1.85966,-2.73585,-2.5928,0.0357628,-3.3021,-4.06704,-0.226498,-3.3915,-4.87566,0.214577,-4.50015,-4.42117,1.3113,-4.11272,-3.66569,1.90735,-3.52263,-4.77135,1.60933,-9.64999,-10.6797,-2.58684,-8.78572,-2.74181,-1.44243,10.2937,7.8246,3.92199,-1.68085,-2.74181,-0.762939,-2.71201,0.840425,-4.58956,-51.856,87.9541,-154.972,-33.6766,-23.1341,-35.7628,-35.7628,37.0853,-197.887,240.207,378.154,60.7967,-32.7826,-31.6696,-20.2656,-36.9549,-20.4146,-196.695,-8.9407,-175.834,-96.5595,151.992,-7.89762,-42.9153,12.517,106.692,-171.661,-185.37,-100.285,-239.611,1483.56,2672.97,245.571,-222.325,-656.396,-329.018,-21.1596,179.112,-87.0228,467.3,236.928,1131.3,1684.98,1368.83,1528.85,1525.36,1534.87,1603.13,1637.56,1550.43,1601.78,1597.37,1351.73,1291.99,1123.7,1186.1,-0.452995,-1.4782,1.01328,-0.858307,-1.33514,-1.49012,-1.00136,-0.536442,-0.572205,-7.49826,-5.73397,9.53674,-1.96695,-4.80413,-163.317,-44.1074,-188.351,131.13,-29.8023,-196.695,-96.5595,36.9549,-134.706,-302.792,1451.97,-497.103,-38.147,1239.78
4,0,688.731,-15.9848,1537.71,457.578,-26.5847,1289.79,762.071,-17.3046,1325.25,524.229,-32.3262,1432.08,529.137,-7.81623,1440.74,603.856,134.224,1478.95,731.278,62.6349,1463.85,767.686,63.6474,1345.53,678.886,178.973,1439.69,640.256,192.949,1450.57,597.444,294.419,1176.31,607.89,213.638,1119.9,359.796,299.796,1021.43,338.106,296.61,1097.55,-2.26498,-4.33717,0.965595,-1.97887,-1.92244,-1.35899,-1.36495,-3.02047,-0.202656,-0.613928,1.14553,0.441074,-3.62992,-3.52748,-0.560284,-3.48091,-4.64767,-1.16825,-4.60744,-5.08726,0.26226,-2.79546,-3.60459,1.51396,-3.62396,-4.05312,-0.13113,-10.3831,-10.6201,-4.17233,3.26037,16.4032,0.89407,7.68304,1.5229,0.89407,-1.70469,-1.20699,-1.45435,-0.0953674,1.21593,2.47955,73.3137,8.67993,16.6893,-33.0806,-23.8977,-33.3786,-7.7486,45.225,-206.232,212.193,373.833,40.5312,-32.7826,53.9562,-33.3786,-8.9407,22.7988,-138.283,-10.7288,-66.6082,-104.904,131.726,6.10948,-39.3391,-10.1328,71.8236,-174.046,-73.3137,5.96046,-158.548,1204.61,1914.5,233.65,-261.068,-630.17,-302.792,-2.38419,153.482,-69.1414,261.664,37.5509,706.911,1684.98,1368.81,1528.84,1525.36,1534.85,1603.1,1637.54,1550.43,1601.76,1597.28,1351.79,1292.03,1123.68,1186.13,-0.0119209,-1.90735,-0.822544,0.178814,-1.75238,-2.77758,-2.02656,-0.214577,-2.11,-9.23872,5.79357,4.63724,-2.19345,2.57492,44.1074,-42.9153,-183.582,103.712,-41.7233,-128.746,-102.52,32.1865,-153.78,-174.046,1152.75,-489.95,-22.6498,737.906
5,0,688.718,-16.0319,1537.74,457.555,-26.6064,1289.78,762.06,-17.3297,1325.23,524.234,-32.2877,1432.09,529.098,-7.84657,1440.73,603.821,134.182,1478.93,731.227,62.6014,1463.85,767.666,63.6122,1345.54,678.846,178.933,1439.68,640.164,192.861,1450.53,597.538,294.641,1176.33,607.936,213.603,1119.89,359.779,299.793,1021.42,338.103,296.603,1097.59,-1.29342,-4.70597,2.15769,-2.27988,-2.16998,-1.62125,-1.11461,-2.50973,-2.08616,0.458956,3.85679,0.464916,-3.83258,-3.03388,-0.667572,-3.44515,-4.21554,-1.64509,-5.08428,-3.35574,-0.298023,-2.04444,-3.51518,1.26362,-4.02927,-3.96818,-1.39475,-9.20296,-8.81106,-4.17233,9.39965,22.2087,2.34842,4.56572,-3.51518,-1.29938,-1.61827,-0.342727,-1.37091,-0.25034,-0.736117,4.18425,97.1556,-36.8804,119.209,-30.1003,-24.7546,-26.226,25.034,51.0737,-188.351,107.288,271.127,2.38419,-20.2656,49.3601,-10.7288,3.57628,43.2134,-47.6837,-47.6837,173.151,-56.0284,75.1019,8.9407,-25.034,-40.5312,8.49366,-126.362,118.017,180.9,0,613.928,580.549,145.435,-311.732,-503.808,-219.345,8.64267,86.4267,8.34465,-15.4972,-195.205,170.469,1685,1368.79,1528.81,1525.37,1534.83,1603.07,1637.52,1550.43,1601.72,1597.2,1351.9,1292.04,1123.66,1186.17,1.49012,-2.25306,-2.32458,0.5126,-1.93119,-3.17097,-2.65837,-0.0596046,-3.40939,-8.53539,11.0388,0.441074,-1.84774,3.61204,150.204,-34.5707,-150.204,33.3786,-17.8814,-39.3391,-63.1809,15.4972,-129.938,70.3335,524.521,-419.617,34.5707,103.712
6,0,688.7,-16.0812,1537.76,457.53,-26.6308,1289.76,762.052,-17.3512,1325.2,524.23,-32.249,1432.09,529.057,-7.87981,1440.73,603.786,134.143,1478.92,731.168,62.5773,1463.85,767.645,63.5773,1345.55,678.801,178.889,1439.66,640.094,192.798,1450.5,597.622,294.787,1176.35,607.952,213.541,1119.87,359.761,299.789,1021.42,338.083,296.573,1097.62,-1.8537,-4.93117,2.59876,-2.51234,-2.43858,-1.83582,-0.840425,-2.14446,-3.09944,-0.363588,3.87169,-0.0238419,-4.11272,-3.32464,-0.345707,-3.56436,-3.86834,-1.26362,-5.87702,-2.41026,-0.333786,-2.09808,-3.49283,1.28746,-4.45247,-4.372,-1.51396,-7.02739,-6.26147,-2.71797,8.36849,14.5376,2.2769,1.62721,-6.15269,-2.08616,-1.8388,-0.357628,-0.214577,-2.03848,-2.97725,2.82526,-56.0284,-22.5194,44.1074,-23.2458,-26.8593,-21.4577,27.4181,36.5265,-101.328,-82.2544,1.49012,-48.8758,-28.0142,-29.0759,32.1865,-11.9209,34.7197,38.147,-79.2742,94.5479,-3.57628,-5.36442,2.23517,2.38419,-42.3193,-40.3821,-11.9209,217.557,254.959,145.435,-103.116,-767.112,-7.15256,-293.851,-263.751,-78.6781,-22.0537,-1.49012,115.633,-178.814,-224.113,-135.899,1685.02,1368.77,1528.78,1525.36,1534.82,1603.04,1637.49,1550.43,1601.69,1597.14,1351.98,1292.02,1123.65,1186.18,1.65701,-2.51532,-3.08752,-0.226498,-1.72853,-2.83718,-3.016,-0.0596046,-3.71933,-6.04391,8.84533,-2.06232,-0.882149,1.28746,16.6893,-26.226,-76.2939,-73.9098,20.2656,33.3786,-35.7628,0,-30.9944,249.147,-219.345,-250.34,96.5595,-232.458
7,0,688.661,-16.1307,1537.78,457.503,-26.6582,1289.74,762.042,-17.3736,1325.18,524.197,-32.2434,1432.08,529.012,-7.92343,1440.73,603.747,134.105,1478.91,731.114,62.5345,1463.85,767.614,63.5434,1345.57,678.755,178.844,1439.66,640.04,192.754,1450.49,597.646,294.786,1176.36,607.951,213.479,1119.85,359.736,299.78,1021.43,338.039,296.528,1097.62,-3.86238,-4.95184,2.31266,-2.68817,-2.73474,-1.95503,-1.01924,-2.23834,-2.36034,-3.24845,0.554696,-0.989437,-4.57764,-4.36176,0.166893,-3.83258,-3.74913,-0.393391,-5.40614,-4.27812,0.619888,-3.0756,-3.39597,1.77622,-4.66704,-4.51058,-0.286102,-5.3823,-4.39733,-0.727177,2.41995,-0.0506639,1.0252,-0.0834465,-6.24359,-1.54972,-2.45571,-0.992417,1.51396,-4.37498,-4.43757,-0.119209,-200.868,-2.06754,-28.6102,-17.5834,-29.6161,-11.9209,-17.8814,-9.38773,73.9098,-288.486,-331.7,-96.5595,-46.4916,-103.712,51.26,-26.8221,11.9209,87.0228,47.0877,-186.786,95.3674,-97.7516,9.68575,48.8758,-21.4577,-13.8581,122.786,164.509,186.414,199.08,-594.854,-1458.82,-125.17,-171.065,-9.08971,53.6442,-61.6908,-63.4789,172.853,-233.65,-146.031,-294.447,1685.02,1368.74,1528.76,1525.34,1534.8,1603.02,1637.47,1550.43,1601.66,1597.1,1352,1291.99,1123.66,1186.15,0.584126,-2.69413,-2.52724,-2.06232,-1.39475,-2.12193,-2.02656,-0.13113,-2.75373,-3.34978,1.94311,-2.40803,0.321865,-2.46763,-107.288,-17.8814,56.0284,-183.582,33.3786,71.5256,98.9437,-7.15256,96.5595,269.413,-690.222,-34.5707,120.401,-375.509
8,0,688.604,-16.1795,1537.8,457.475,-26.6885,1289.72,762.023,-17.4001,1325.18,524.128,-32.2869,1432.06,528.963,-7.98144,1440.73,603.706,134.069,1478.92,731.074,62.4788,1463.87,767.564,63.5137,1345.59,678.707,178.805,1439.67,639.993,192.718,1450.5,597.597,294.648,1176.36,607.941,213.428,1119.85,359.705,299.761,1021.46,337.98,296.48,1097.6,-5.71609,-4.87771,1.97887,-2.8491,-3.03369,-2.00272,-1.92523,-2.65446,-0.0476837,-6.9499,-4.353,-1.97887,-4.8995,-5.80046,0.452995,-4.18425,-3.65973,0.393391,-3.97563,-5.56707,2.20537,-5.07236,-2.96384,2.65837,-4.79221,-3.90559,1.46627,-4.71473,-3.59863,0.977516,-4.84586,-13.8253,-0.64373,-1.01924,-5.05596,-0.500679,-3.18289,-1.85668,2.86102,-5.94258,-4.83096,-1.88351,-185.37,7.41333,-33.3786,-16.0933,-29.8955,-4.76837,-90.5991,-41.6115,231.266,-370.145,-490.77,-98.9437,-32.1865,-143.871,28.6102,-35.1667,8.9407,78.6781,143.051,-128.895,158.548,-199.676,43.2134,88.2149,-12.517,60.4987,175.238,66.7572,79.8702,170.469,-726.581,-1377.46,-166.893,-93.5793,118.762,104.904,-72.7177,-86.4267,134.706,-156.76,-39.3391,-176.43,1685.02,1368.71,1528.75,1525.3,1534.79,1603.01,1637.47,1550.42,1601.65,1597.09,1351.95,1291.97,1123.67,1186.11,-0.488758,-2.77758,-0.977516,-4.14848,-1.23978,-1.51396,-0.0119209,-0.321865,-1.14441,-1.44243,-5.71012,-1.75238,1.0848,-4.63724,-107.288,-8.34465,154.972,-208.616,15.4972,60.7967,201.464,-19.0735,160.933,190.735,-765.324,65.5651,76.2939,-216.961
9,0,688.545,-16.2253,1537.82,457.445,-26.7215,1289.7,761.99,-17.4278,1325.2,524.031,-32.368,1432.03,528.912,-8.04669,1440.74,603.66,134.031,1478.92,731.042,62.4335,1463.9,767.485,63.4889,1345.63,678.657,178.775,1439.7,639.945,192.683,1450.52,597.496,294.442,1176.34,607.92,213.389,1119.85,359.668,299.736,1021.49,337.919,296.438,1097.58,-5.93066,-4.57671,1.89543,-3.02792,-3.29893,-1.97887,-3.20077,-2.76808,2.45571,-9.69768,-8.10102,-2.49147,-5.0962,-6.52513,0.345707,-4.55976,-3.79086,0.619888,-3.18289,-4.53442,2.563,-7.83801,-2.48477,3.25441,-5.02467,-3.05325,2.31266,-4.80413,-3.53009,1.90735,-10.1149,-20.6292,-1.81198,-2.09212,-3.95179,0.214577,-3.69251,-2.54214,2.93255,-6.08563,-4.17829,-1.21593,-21.4577,30.1003,-8.34465,-17.8814,-26.5241,2.38419,-127.554,-11.3621,250.34,-274.777,-374.801,-51.26,-19.6695,-72.4662,-10.7288,-37.5509,-13.113,22.6498,79.2742,103.265,35.7628,-276.566,47.9072,59.6046,-23.2458,85.2346,84.6386,-8.9407,6.85453,92.9832,-526.905,-680.387,-116.825,-107.288,110.418,71.5256,-50.962,-68.5453,7.15256,-14.3051,65.2671,66.7572,1685.01,1368.68,1528.75,1525.25,1534.78,1602.99,1637.47,1550.41,1601.64,1597.08,1351.84,1291.96,1123.68,1186.07,-0.64373,-2.81334,0.572205,-5.50747,-1.39475,-1.45435,0.691414,-1.15633,-0.393391,-0.607967,-10.5381,-1.45435,0.810623,-3.91006,-15.4972,-3.57628,154.972,-135.899,-15.4972,5.96046,70.3335,-83.4465,75.1019,83.4465,-482.798,29.8023,-27.4181,72.7177
