time,TH_x,TH_y,TH_z,SC_z,Trunk_Hum_y,Trunk_Hum_z,Trunk_Hum_yy,EL_x,PS_y
0,0,0,0,0.1708,1.571,0.087,-1.571,1.92,1.59
1,0,0,0,0.1708,1.571,1.75,-1.571,0,1.59
